article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url,article_index
PUC21J0TL-J11,OVERSIZE  - Sweater - light pink,WOMEN,PULLOVER,OVERSIZE,PULL&BEAR,1599,1599,https://www.zalando.nl/pullandbear-sweater-light-pink-puc21j0tl-j11.html,https://img01.ztat.net/article/spp-media-p1/0c81251609d347e48b4ce186154b33ec/f678d269b7aa42d6a5839dc5ff67be10.jpg?imwidth=600&filter=packshot,528
JJ621D00F-G11,FALLON TANK - Top - red orange,WOMEN,T_SHIRT_TOP,FALLON TANK,JJXX,1495,1495,https://www.zalando.nl/jjxx-fallon-tank-top-red-orange-jj621d00f-g11.html,https://img01.ztat.net/article/spp-media-p1/10a75248a4f3430fa16c8ecbe81dd882/ba2eba89e2c44abb9b47e8d78ccb5c45.jpg?imwidth=600&filter=packshot,529
ON321N0QM-A11,ONLBLUSH RAW - Jeans Skinny Fit - white,WOMEN,TROUSER,ONLBLUSH RAW,ONLY,3499,3149,https://www.zalando.nl/only-onlblush-raw-jeans-skinny-fit-white-on321n0qm-a11.html,https://img01.ztat.net/article/spp-media-p1/209ab2e100e94c36952c32d97cd994b2/baed542485cd4f6ab4c8a16408747048.jpg?imwidth=600&filter=packshot,530
VE121N0JT-K11,VMLYDIA - Jeans Skinny Fit - medium blue denim,WOMEN,TROUSER,VMLYDIA,Vero Moda,3999,2799,https://www.zalando.nl/vero-moda-vmlydia-jeans-skinny-fit-medium-blue-denim-ve121n0jt-k11.html,https://img01.ztat.net/article/spp-media-p1/e6ab7a53a41b3767a36337eeec9c549d/7c621fae79614fb684288243b4697401.jpg?imwidth=600&filter=packshot,531
BEJ21G0DM-M11,MASCULINE - Blazer - green,WOMEN,JACKET,MASCULINE,Bershka,3999,3999,https://www.zalando.nl/bershka-masculine-blazer-green-bej21g0dm-m11.html,https://img01.ztat.net/article/spp-media-p1/0cfb9507cd394e9289a3a6d19a8bcc73/47406233d09744e096f8203ced6f09be.jpg?imwidth=600&filter=packshot,532
PUC21J0TN-A11,OVERSIZED  - Hoodie - brown,WOMEN,PULLOVER,OVERSIZED,PULL&BEAR,1999,1999,https://www.zalando.nl/pullandbear-oversized-sweater-off-white-puc21j0tn-a11.html,https://img01.ztat.net/article/spp-media-p1/192b79a954ac434eb9a8687c7ab88be0/0e45cea040cc42ac938283c131e2047a.jpg?imwidth=600&filter=packshot,533
JY121E0LP-Q13,JDYBROOKE  - Overhemdblouse - black,WOMEN,SHIRT,JDYBROOKE,JDY,1999,1699,https://www.zalando.nl/jdy-jdybrooke-shirt-overhemdblouse-black-jy121e0lp-q13.html,https://img01.ztat.net/article/spp-media-p1/a79dae5fb5fd494ab8a9ae43590bb2a1/3d6744fdb9114af1baad7f651e6dbd31.jpg?imwidth=600&filter=packshot,534
WF521J033-M11,Sweater - light green,WOMEN,PULLOVER,Sweater,WE Fashion,4500,4500,https://www.zalando.nl/we-fashion-sweater-light-green-wf521j033-m11.html,https://img01.ztat.net/article/spp-media-p1/46c0e3564ccd43f28aa7d3186a3a04b6/dd05a4c0f6ec4746809bd5c0571c4f82.jpg?imwidth=600&filter=packshot,535
EX429B00S-B11,Legging - beige,WOMEN,TROUSER,Legging,Anna Field MAMA,1299,1299,https://www.zalando.nl/anna-field-mama-legging-beige-ex429b00s-b11.html,https://img01.ztat.net/article/spp-media-p1/0da73b6de2e349618e3b84988c2e0eda/a939c3f958ef4fdabdcfbfa328d05f62.jpg?imwidth=600&filter=packshot,536
M5Q29B005-Q11,FLARES - Broek - black,WOMEN,TROUSER,FLARES,Missguided Maternity,1995,1995,https://www.zalando.nl/missguided-maternity-flares-broek-black-m5q29b005-q11.html,https://img01.ztat.net/article/spp-media-p1/43df247a536a3ddb86bb6d6e0b878c55/c7ad7c4f6db8478985522086995177b7.jpg?imwidth=600&filter=packshot,537
N1241G086-Q11,PACER - Sport T-shirt - black/reflective silver,WOMEN,T_SHIRT_TOP,PACER,Nike Performance,3995,3995,https://www.zalando.nl/nike-performance-pacer-longsleeve-blackreflective-silver-n1241g086-q11.html,https://img01.ztat.net/article/spp-media-p1/1e778792fe9930d68811fb0a41e56ca6/07f8a60c15e6457198a11c0c51c55706.jpg?imwidth=600&filter=packshot,538
BRH22O014-A11,TIGON - T-shirt print - white,MEN,T_SHIRT_TOP,TIGON,Brave Soul,1995,1395,https://www.zalando.nl/brave-soul-tigon-t-shirt-print-white-brh22o014-a11.html,https://img01.ztat.net/article/spp-media-p1/fc009301e29d4e0eb32d6a5575d99071/bf22ca88078f4ac6a855798dd55e604d.jpg?imwidth=600&filter=packshot,539
MOQ21D01A-Q14,T-shirt print - offblack,WOMEN,T_SHIRT_TOP,T-shirt print,Monki,1500,1500,https://www.zalando.nl/monki-t-shirt-print-offblack-moq21d01a-q14.html,https://img01.ztat.net/article/spp-media-p1/6f80e212cd10453e8728f3791a2637a8/a6cf9b74e5f9414daf0f7c51275f657d.jpg?imwidth=600&filter=packshot,540
ARU21D002-A11,T-shirt basic - white light,WOMEN,T_SHIRT_TOP,T-shirt basic,ARKET,1695,1695,https://www.zalando.nl/arket-t-shirt-t-shirt-basic-white-light-aru21d002-a11.html,https://img01.ztat.net/article/spp-media-p1/2ae2bd21eeb6341e90b3308ba0438d37/a384194154574c75b87f77e263303727.jpg?imwidth=600&filter=packshot,541
