article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url
JA222T0C8-K11,JJIALVIN JJJACKET - Spijkerjas - blue denim,MEN,COAT,JJIALVIN JJJACKET,Jack & Jones,4999,3499,https://www.zalando.nl/jack-and-jones-jjialvin-jjjacket-spijkerjas-blue-denim-ja222t0c8-k11.html,https://img01.ztat.net/article/spp-media-p1/f51144febc37388383543e2f016c9dd4/9f35619d374f428faefec58421504e4d.jpg?imwidth=103&filter=packshot
JY121E0LP-Q13,JDYBROOKE  - Overhemdblouse - black,WOMEN,SHIRT,JDYBROOKE,JDY,1999,1799,https://www.zalando.nl/jdy-jdybrooke-shirt-overhemdblouse-black-jy121e0lp-q13.html,https://img01.ztat.net/article/spp-media-p1/a79dae5fb5fd494ab8a9ae43590bb2a1/3d6744fdb9114af1baad7f651e6dbd31.jpg?imwidth=103&filter=packshot
ON321A1DJ-Q11,ONLNOVA LIFE PANT SOLID - Broek - black,WOMEN,TROUSER,ONLNOVA LIFE PANT SOLID,ONLY,2199,1769,https://www.zalando.nl/only-onlnova-life-pant-solid-broek-black-on321a1dj-q11.html,https://img01.ztat.net/article/spp-media-p1/989f21164e874a9eba74bcb74a88013b/f18735e994984b36bb2102b47dc61c32.jpg?imwidth=103&filter=packshot
N1241E18T-Q11,365 SHORT - Legging - black,WOMEN,TROUSER,365 SHORT,Nike Performance,2995,2555,https://www.zalando.nl/nike-performance-short-legging-black-n1241e18t-q11.html,https://img01.ztat.net/article/spp-media-p1/0a8850100e7c40eeb5457d5fefe249a8/559acbd613e24d8caad4da4ea64b843b.jpg?imwidth=103&filter=packshot
GS122G0JF-K11,REVEND SKINNY - Jeans Skinny Fit - light indigo aged,MEN,TROUSER,REVEND SKINNY,G-Star,9995,7495,https://www.zalando.nl/g-star-revend-skinny-jeans-skinny-fit-light-indigo-aged-gs122g0jf-k11.html,https://img01.ztat.net/article/spp-media-p1/d28ad8c72e364af78b0b7e5be4d83277/4213c14ca10f4b97b66a94118d201123.jpg?imwidth=103&filter=packshot
LE221N07V-G11,HIGH WAISTED MOM - Relaxed fit jeans - summer house,WOMEN,TROUSER,HIGH WAISTED MOM,Levi's®,6995,6995,https://www.zalando.nl/levis-high-waisted-mom-jeans-tapered-fit-summer-house-le221n07v-g11.html,https://img01.ztat.net/article/spp-media-p1/dde26c924e364f6cb76c39f73594cb31/d41c7e370afb405cbc1820db6ee62655.jpg?imwidth=103&filter=packshot
WF524G0DE-H11,WE FASHION JONGENS NEON T-SHIRT - T-shirt basic - orange,KIDS,T_SHIRT_TOP,WE FASHION JONGENS NEON T-SHIRT,WE Fashion,999,800,https://www.zalando.nl/we-fashion-we-fashion-jongens-neon-t-shirt-t-shirt-basic-orange-wf524g0de-h11.html,https://img01.ztat.net/article/spp-media-p1/c11563b2ddfa46a4881eb0061b92a069/eb4ef5225dc742dfabd1467ac7d8ed77.jpg?imwidth=103&filter=packshot
SE622E0FK-B11,SLHSLIM MILES FLEX PANTS - Chino - greige,MEN,TROUSER,SLHSLIM MILES FLEX PANTS,Selected Homme,5999,5999,https://www.zalando.nl/selected-homme-slhslim-miles-flex-pants-chino-greige-se622e0fk-b11.html,https://img01.ztat.net/article/spp-media-p1/7f77bc19d21834969e432bcb56005668/cd0398ad3e164ec0a2bb249c17725c02.jpg?imwidth=103&filter=packshot
JY121U003-Q11,JDYBESTY  FALL - Mantel - black,WOMEN,COAT,JDYBESTY  FALL,JDY,3999,3999,https://www.zalando.nl/jdy-jdybesty-mantel-jy121u003-q11.html,https://img01.ztat.net/article/spp-media-p1/173fd2c895d83bc2b45b368ff3e367af/b9b10c55bf024cbba85b05bd31928d3b.png?imwidth=103&filter=packshot
M9121E4CI-M11,CHAIN - Overhemdblouse - groen,WOMEN,SHIRT,CHAIN,Mango,3999,3999,https://www.zalando.nl/mango-overhemdblouse-groen-m9121e4ci-m11.html,https://img01.ztat.net/article/spp-media-p1/b678a81614b24a5ba30a1286aaebb160/a9d705049ddd4eb49a97b90f2b741ae5.jpg?imwidth=103&filter=packshot
